venue,name,startDate,endDate,contactEmail,contactPhone,matchesList,matchHistory,teams,active
test,test,test,test,test,test,,,,True
test,test,test,test,test,test,,,,True
test,test,test,test,test,test,,,,True
test,test,test,test,test,test,,,,True
test,test,test,test,test,test,,,,True
test,test,test,test,test,test,,,,True
test,test,test,test,test,test,,,,True
test,test,test,test,test,test,,,,True
test,test,test,test,test,test,,,,True
test,test,test,test,test,test,,,,True
test,test,test,test,test,test,,,,True
hA,HA REGIONALS,1,2,nei,okay,,,,True
test,test,test,test,test,test,,,,True
test,test,test,test,test,test,,,,True
test,test,test,test,test,test,,,,True
ru,ru scrub games,90,900000000,noone@gmail.lol,me,,,,True
test,test,test,test,test,test,,,,True
sadf,asf,ha,dfg,eaf,asdf,,,,True
sdlkfa,asdfj,sf,a,sadf,a,,,,True
sadf ,as f,vadhfa,f weg,wafaw,hgeea,,,,True
afdb,asf,agd,safd,ga,gasd,,,,True
asdf,agfd,asdf,afdg,asgd,asf,,,,True
sdf,asdf,asdf,asf,sadf,sadf,,,,True
asg,asd,fad,fgasd,fas,sdaf,,,,True
asdf,asdg,sadf,asdf,asdfa,sDF,,,,True
sadf,asfd,asdf,asfd,asdf,asdf,,,,True
hA,HA REGIONALS,1,2,nei,okay,,,,True
hA,HA REGIONALS,1,2,nei,okay,,,,True
