matchID,team_A,team_B,matchWinner,playerScore,matchPlayed,matchDate,matchTime,server
M1,The Basterds,FURIA,The Basterds,"{'The Basterds': '8', 'FURIA': '4'}",True,12/10/2025,10:00,0
M2,Vitality,Falcons,Vitality,"{'Vitality': '7', 'Falcons': '5'}",True,12/10/2025,13:00,0
M3,MOUZ,The MongolZ,MOUZ,"{'MOUZ': '8', 'The MongolZ': '4'}",True,13/10/2025,11:00,0
M4,Spirit,Natus Vincere,Spirit,"{'Spirit': '3', 'Natus Vincere': '1'}",True,13/10/2025,15:00,0
M5,G2,Aurora,G2,"{'G2': '10', 'Aurora': '5'}",True,14/10/2025,13:00,0
M6,paiN,Astralis,Astralis,"{'paiN': '4', 'Astralis': '6'}",True,15/10/2025,11:00,0
M7,FaZe,3DMAX,FaZe,"{'FaZe': '4', '3DMAX': '1'}",True,15/10/2025,15:00,0
M8,Legacy,Liquid,Liquid,"{'Legacy': '5', 'Liquid': '10'}",True,16/10/2025,13:00,0
M9,B8,The Basterds,The Basterds,"{'B8': '3', 'The Basterds': '10'}",True,17/10/2025,11:00,0
M10,GamerLegion,Vitality,GamerLegion,"{'GamerLegion': '4', 'Vitality': '3'}",True,17/10/2025,15:00,0
M11,HEROIC,MOUZ,HEROIC,"{'HEROIC': '5', 'MOUZ': '4'}",True,18/10/2025,13:00,0
M12,Virtus.rpo,Spirit,Virtus.rpo,"{'Virtus.rpo': '6', 'Spirit': '1'}",True,19/10/2025,11:00,0
M13,SAW,G2,SAW,"{'SAW': '4', 'G2': '2'}",True,19/10/2025,15:00,0
M14,Passion UA,Astralis,Passion UA,"{'Passion UA': '5', 'Astralis': '4'}",True,20/10/2025,13:00,0
M15,M80,FaZe,M80,"{'M80': '10', 'FaZe': '5'}",True,21/10/2025,11:00,0
M16,The Basterds,Liquid,The Basterds,"{'The Basterds': '8', 'Liquid': '3'}",True,21/10/2025,15:00,0
M17,GamerLegion,HEROIC,GamerLegion,"{'GamerLegion': '4', 'HEROIC': '3'}",True,22/10/2025,13:00,0
M18,Virtus.rpo,SAW,Virtus.rpo,"{'Virtus.rpo': '9', 'SAW': '3'}",True,23/10/2025,11:00,0
M19,Passion UA,M80,M80,"{'Passion UA': '0', 'M80': '3'}",True,23/10/2025,15:00,0
M20,The Basterds,GamerLegion,The Basterds,"{'The Basterds': '5', 'GamerLegion': '4'}",True,24/10/2025,13:00,0
M21,Virtus.rpo,M80,Virtus.rpo,"{'Virtus.rpo': '7', 'M80': '5'}",True,25/10/2025,11:00,0
M22,The Basterds,Virtus.rpo,Virtus.rpo,"{'The Basterds': '4', 'Virtus.rpo': '5'}",True,25/10/2025,15:00,0
