teamID,teamName,roster,wins,losses,captainHandle
1,FURIA,"FalleN,yuurih,YEKINDAR,KSCERATO,moloday,Testplayer",0,0,FalleN
2,Vitality,"apEX,ropz,zywOo,flameZ,mezii",0,0,apEX
3,Falcons,"NiKo,TeSeS,m0NESY,kyxsan,kyousuke",0,0,NiKo
4,MOUZ,"Brollan,torzsi,Spinx,jimpphat,xertioN",0,0,Brollan
5,The MongolZ,"bLitz,Techno,mzinho,910",0,0,bLitz
6,Spirit,"chopper,sh1ro,tN1R,donk,zweih",0,0,chopper
7,Natus Vincere,"Aleksib,iM,b1t,w0nderful,makazze",0,0,Aleksib
8,G2,"huNter-,malbsMd,SunPayus,HeavyGod,MATYS",0,0,huNter-
9,Aurora,"MAJ3R,XANTARES,woxic,Wicadia,jottAAA",0,0,MAJ3R
10,paiN,"dgt,biguzera,dav1deuS,nqz,snow",0,0,dgt
11,Astralis,"device,Magisk,HooXi,jabbi,Staehr",0,0,device
12,FaZe,"karrigan,frozen,Twistzz,broky,jcobbb",0,0,karrigan
13,3DMAX,"bodyy,Maka,Lucky,Ex3rcice,Graviti",0,0,bodyy
14,Legacy,"dumau,latto,n1ssim,lux,saadzin",0,0,dumau
15,The Basterds,"Sheriff_Norris,Slappy,Hezu5",0,0,Sheriff_Norris
